,Period of Holding
4107,18 days 00:00:00.000000000
4108,4 days 00:00:00.000000000
4109,1 days 00:00:00.000000000
4110,1 days 00:00:00.000000000
4111,1 days 00:00:00.000000000
4112,14 days 00:00:00.000000000
4113,11 days 00:00:00.000000000
4114,14 days 00:00:00.000000000
4115,11 days 00:00:00.000000000
4116,7 days 00:00:00.000000000
4117,31 days 00:00:00.000000000
4118,31 days 00:00:00.000000000
4119,31 days 00:00:00.000000000
4120,4 days 00:00:00.000000000
4121,33 days 00:00:00.000000000
4122,6 days 00:00:00.000000000
4123,33 days 00:00:00.000000000
4124,19 days 00:00:00.000000000
4125,3 days 00:00:00.000000000
4126,18 days 00:00:00.000000000
4127,3 days 00:00:00.000000000
4128,31 days 00:00:00.000000000
4129,31 days 00:00:00.000000000
4130,31 days 00:00:00.000000000
4131,31 days 00:00:00.000000000
4132,31 days 00:00:00.000000000
4133,3 days 00:00:00.000000000
4134,3 days 00:00:00.000000000
4135,3 days 00:00:00.000000000
4136,7 days 00:00:00.000000000
4137,88 days 00:00:00.000000000
4138,1 days 00:00:00.000000000
4139,11 days 00:00:00.000000000
4140,35 days 00:00:00.000000000
4141,3 days 00:00:00.000000000
4142,7 days 00:00:00.000000000
4143,3 days 00:00:00.000000000
4144,3 days 00:00:00.000000000
4145,3 days 00:00:00.000000000
4146,3 days 00:00:00.000000000
4147,1 days 00:00:00.000000000
4148,1 days 00:00:00.000000000
4149,1 days 00:00:00.000000000
4150,1 days 00:00:00.000000000
4151,1 days 00:00:00.000000000
4152,7 days 00:00:00.000000000
4153,1 days 00:00:00.000000000
4154,1 days 00:00:00.000000000
4155,1 days 00:00:00.000000000
4156,1 days 00:00:00.000000000
4157,1 days 00:00:00.000000000
4158,14 days 00:00:00.000000000
4159,12 days 00:00:00.000000000
4160,12 days 00:00:00.000000000
4161,-10 days +00:00:00.000000000
4162,1 days 00:00:00.000000000
4163,1 days 00:00:00.000000000
4164,1 days 00:00:00.000000000
4165,1 days 00:00:00.000000000
4166,7 days 00:00:00.000000000
4167,14 days 00:00:00.000000000
4168,1 days 00:00:00.000000000
4169,7 days 00:00:00.000000000
4170,7 days 00:00:00.000000000
4171,9 days 00:00:00.000000000
4172,9 days 00:00:00.000000000
4173,13 days 00:00:00.000000000
4174,6 days 00:00:00.000000000
4175,6 days 00:00:00.000000000
4176,1 days 00:00:00.000000000
4177,1 days 00:00:00.000000000
4178,1 days 00:00:00.000000000
4179,1 days 00:00:00.000000000
4180,1 days 00:00:00.000000000
4181,1 days 00:00:00.000000000
4182,8 days 00:00:00.000000000
4183,1 days 00:00:00.000000000
4184,8 days 00:00:00.000000000
4185,23 days 00:00:00.000000000
4186,1 days 00:00:00.000000000
4187,11 days 00:00:00.000000000
4188,22 days 00:00:00.000000000
4189,1 days 00:00:00.000000000
4190,1 days 00:00:00.000000000
4191,1 days 00:00:00.000000000
4192,1 days 00:00:00.000000000
4193,1 days 00:00:00.000000000
4194,1 days 00:00:00.000000000
4195,3 days 00:00:00.000000000
4196,3 days 00:00:00.000000000
4197,3 days 00:00:00.000000000
4198,3 days 00:00:00.000000000
4199,3 days 00:00:00.000000000
4200,1 days 00:00:00.000000000
4201,8 days 00:00:00.000000000
4202,1 days 00:00:00.000000000
4203,1 days 00:00:00.000000000
4204,1 days 00:00:00.000000000
4205,1 days 00:00:00.000000000
4206,1 days 00:00:00.000000000
4207,1 days 00:00:00.000000000
4208,1 days 00:00:00.000000000
4209,1 days 00:00:00.000000000
4210,7 days 00:00:00.000000000
4211,1 days 00:00:00.000000000
4212,3 days 00:00:00.000000000
4213,3 days 00:00:00.000000000
4214,9 days 00:00:00.000000000
4215,9 days 00:00:00.000000000
4216,8 days 00:00:00.000000000
4217,6 days 00:00:00.000000000
4218,30 days 00:00:00.000000000
4219,30 days 00:00:00.000000000
4220,1 days 00:00:00.000000000
4221,9 days 00:00:00.000000000
4222,1 days 00:00:00.000000000
4223,1 days 00:00:00.000000000
4224,1 days 00:00:00.000000000
4225,1 days 00:00:00.000000000
4226,32 days 00:00:00.000000000
4227,11 days 00:00:00.000000000
4228,3 days 00:00:00.000000000
4229,31 days 00:00:00.000000000
4230,11 days 00:00:00.000000000
4231,4 days 00:00:00.000000000
4232,4 days 00:00:00.000000000
4233,4 days 00:00:00.000000000
4234,3 days 00:00:00.000000000
4235,7 days 00:00:00.000000000
4236,34 days 00:00:00.000000000
4237,8 days 00:00:00.000000000
4238,1 days 00:00:00.000000000
4239,1 days 00:00:00.000000000
4240,1 days 00:00:00.000000000
4241,2 days 00:00:00.000000000
4242,1 days 00:00:00.000000000
4243,1 days 00:00:00.000000000
4244,1 days 00:00:00.000000000
4245,1 days 00:00:00.000000000
4246,1 days 00:00:00.000000000
4247,1 days 00:00:00.000000000
4248,1 days 00:00:00.000000000
4249,1 days 00:00:00.000000000
4250,1 days 00:00:00.000000000
4251,5 days 00:00:00.000000000
4252,14 days 00:00:00.000000000
4253,35 days 00:00:00.000000000
4254,5 days 00:00:00.000000000
4255,1 days 00:00:00.000000000
4256,1 days 00:00:00.000000000
4257,1 days 00:00:00.000000000
4258,1 days 00:00:00.000000000
4259,1 days 00:00:00.000000000
4260,1 days 00:00:00.000000000
4261,27 days 00:00:00.000000000
4262,27 days 00:00:00.000000000
4263,8 days 00:00:00.000000000
4264,52 days 00:00:00.000000000
4265,3 days 00:00:00.000000000
4266,3 days 00:00:00.000000000
4267,11 days 00:00:00.000000000
4268,29 days 00:00:00.000000000
4269,8 days 00:00:00.000000000
4270,7 days 00:00:00.000000000
4271,35 days 00:00:00.000000000
4272,9 days 00:00:00.000000000
4273,11 days 00:00:00.000000000
4274,1 days 00:00:00.000000000
4275,1 days 00:00:00.000000000
4276,1 days 00:00:00.000000000
4277,1 days 00:00:00.000000000
4278,1 days 00:00:00.000000000
4279,29 days 00:00:00.000000000
4280,29 days 00:00:00.000000000
4281,1 days 00:00:00.000000000
4282,8 days 00:00:00.000000000
4283,1 days 00:00:00.000000000
4284,1 days 00:00:00.000000000
4285,1 days 00:00:00.000000000
4286,1 days 00:00:00.000000000
4287,1 days 00:00:00.000000000
4288,1 days 00:00:00.000000000
4289,33 days 00:00:00.000000000
4290,7 days 00:00:00.000000000
4291,7 days 00:00:00.000000000
4292,20 days 00:00:00.000000000
4293,-3 days +00:00:00.000000000
4294,25 days 00:00:00.000000000
4295,0 days 00:00:00.000000000
4296,26 days 00:00:00.000000000
4297,26 days 00:00:00.000000000
4298,1 days 00:00:00.000000000
4299,27 days 00:00:00.000000000
4300,4 days 00:00:00.000000000
4301,4 days 00:00:00.000000000
4302,7 days 00:00:00.000000000
4303,19 days 00:00:00.000000000
4304,19 days 00:00:00.000000000
4305,-8 days +00:00:00.000000000
4306,20 days 00:00:00.000000000
4307,-3 days +00:00:00.000000000
4308,-1 days +00:00:00.000000000
4309,6 days 00:00:00.000000000
4310,7 days 00:00:00.000000000
4311,7 days 00:00:00.000000000
4312,1 days 00:00:00.000000000
4313,1 days 00:00:00.000000000
4314,1 days 00:00:00.000000000
4315,1 days 00:00:00.000000000
4316,1 days 00:00:00.000000000
4317,1 days 00:00:00.000000000
4318,1 days 00:00:00.000000000
4319,11 days 00:00:00.000000000
4320,11 days 00:00:00.000000000
4321,1 days 00:00:00.000000000
4322,35 days 00:00:00.000000000
4323,1 days 00:00:00.000000000
4324,1 days 00:00:00.000000000
4325,1 days 00:00:00.000000000
4326,1 days 00:00:00.000000000
4327,1 days 00:00:00.000000000
4328,8 days 00:00:00.000000000
4329,1 days 00:00:00.000000000
4330,6 days 00:00:00.000000000
4331,1 days 00:00:00.000000000
4332,1 days 00:00:00.000000000
4333,1 days 00:00:00.000000000
4334,1 days 00:00:00.000000000
4335,1 days 00:00:00.000000000
4336,1 days 00:00:00.000000000
4337,1 days 00:00:00.000000000
4338,1 days 00:00:00.000000000
4339,1 days 00:00:00.000000000
4340,30 days 00:00:00.000000000
4341,30 days 00:00:00.000000000
4342,30 days 00:00:00.000000000
4343,13 days 00:00:00.000000000
4344,1 days 00:00:00.000000000
4345,1 days 00:00:00.000000000
4346,1 days 00:00:00.000000000
4347,1 days 00:00:00.000000000
4348,1 days 00:00:00.000000000
4349,1 days 00:00:00.000000000
4350,1 days 00:00:00.000000000
4351,7 days 00:00:00.000000000
4352,9 days 00:00:00.000000000
4353,33 days 00:00:00.000000000
4354,33 days 00:00:00.000000000
4355,7 days 00:00:00.000000000
4356,33 days 00:00:00.000000000
4357,7 days 00:00:00.000000000
4358,11 days 00:00:00.000000000
4359,10 days 00:00:00.000000000
4360,3 days 00:00:00.000000000
4361,3 days 00:00:00.000000000
4362,3 days 00:00:00.000000000
4363,3 days 00:00:00.000000000
4364,3 days 00:00:00.000000000
4365,1 days 00:00:00.000000000
4366,1 days 00:00:00.000000000
4367,1 days 00:00:00.000000000
4368,8 days 00:00:00.000000000
4369,3 days 00:00:00.000000000
4370,3 days 00:00:00.000000000
4371,3 days 00:00:00.000000000
4372,3 days 00:00:00.000000000
4373,3 days 00:00:00.000000000
4374,3 days 00:00:00.000000000
4375,3 days 00:00:00.000000000
4376,3 days 00:00:00.000000000
4377,3 days 00:00:00.000000000
4378,9 days 00:00:00.000000000
4379,1 days 00:00:00.000000000
4380,1 days 00:00:00.000000000
4381,1 days 00:00:00.000000000
4382,1 days 00:00:00.000000000
4383,1 days 00:00:00.000000000
4384,1 days 00:00:00.000000000
4385,1 days 00:00:00.000000000
4386,30 days 00:00:00.000000000
4387,30 days 00:00:00.000000000
4388,6 days 00:00:00.000000000
4389,16 days 00:00:00.000000000
4390,34 days 00:00:00.000000000
4391,1 days 00:00:00.000000000
4392,1 days 00:00:00.000000000
4393,1 days 00:00:00.000000000
4394,1 days 00:00:00.000000000
4395,4 days 00:00:00.000000000
4396,31 days 00:00:00.000000000
4397,31 days 00:00:00.000000000
4398,5 days 00:00:00.000000000
4399,1 days 00:00:00.000000000
4400,1 days 00:00:00.000000000
4401,1 days 00:00:00.000000000
4402,1 days 00:00:00.000000000
4403,1 days 00:00:00.000000000
4404,1 days 00:00:00.000000000
4405,3 days 00:00:00.000000000
4406,3 days 00:00:00.000000000
4407,3 days 00:00:00.000000000
4408,3 days 00:00:00.000000000
4409,3 days 00:00:00.000000000
4410,3 days 00:00:00.000000000
4411,12 days 00:00:00.000000000
4412,0 days 00:00:00.000000000
4413,0 days 00:00:00.000000000
4414,25 days 00:00:00.000000000
4415,35 days 00:00:00.000000000
4416,2 days 00:00:00.000000000
4417,2 days 00:00:00.000000000
4418,7 days 00:00:00.000000000
4419,1 days 00:00:00.000000000
4420,1 days 00:00:00.000000000
4421,1 days 00:00:00.000000000
4422,1 days 00:00:00.000000000
4423,1 days 00:00:00.000000000
4424,22 days 00:00:00.000000000
4425,6 days 00:00:00.000000000
4426,1 days 00:00:00.000000000
4427,1 days 00:00:00.000000000
4428,1 days 00:00:00.000000000
4429,1 days 00:00:00.000000000
4430,1 days 00:00:00.000000000
4431,1 days 00:00:00.000000000
4432,1 days 00:00:00.000000000
4433,12 days 00:00:00.000000000
4434,1 days 00:00:00.000000000
4435,1 days 00:00:00.000000000
4436,12 days 00:00:00.000000000
4437,1 days 00:00:00.000000000
4438,6 days 00:00:00.000000000
4439,1 days 00:00:00.000000000
4440,1 days 00:00:00.000000000
4441,7 days 00:00:00.000000000
4442,1 days 00:00:00.000000000
4443,1 days 00:00:00.000000000
4444,1 days 00:00:00.000000000
4445,1 days 00:00:00.000000000
4446,1 days 00:00:00.000000000
4447,1 days 00:00:00.000000000
4448,1 days 00:00:00.000000000
4449,1 days 00:00:00.000000000
4450,1 days 00:00:00.000000000
4451,1 days 00:00:00.000000000
4452,1 days 00:00:00.000000000
4453,1 days 00:00:00.000000000
4454,9 days 00:00:00.000000000
4455,10 days 00:00:00.000000000
4456,3 days 00:00:00.000000000
4457,1 days 00:00:00.000000000
4458,1 days 00:00:00.000000000
4459,1 days 00:00:00.000000000
4460,1 days 00:00:00.000000000
4461,1 days 00:00:00.000000000
4462,7 days 00:00:00.000000000
4463,1 days 00:00:00.000000000
4464,1 days 00:00:00.000000000
4465,7 days 00:00:00.000000000
4466,1 days 00:00:00.000000000
4467,1 days 00:00:00.000000000
4468,11 days 00:00:00.000000000
4469,11 days 00:00:00.000000000
4470,1 days 00:00:00.000000000
4471,40 days 00:00:00.000000000
4472,1 days 00:00:00.000000000
4473,1 days 00:00:00.000000000
4474,1 days 00:00:00.000000000
4475,1 days 00:00:00.000000000
4476,1 days 00:00:00.000000000
4477,8 days 00:00:00.000000000
4478,8 days 00:00:00.000000000
4479,8 days 00:00:00.000000000
4480,6 days 00:00:00.000000000
4481,11 days 00:00:00.000000000
4482,8 days 00:00:00.000000000
4483,7 days 00:00:00.000000000
4484,1 days 00:00:00.000000000
4485,7 days 00:00:00.000000000
4486,7 days 00:00:00.000000000
4487,1 days 00:00:00.000000000
4488,1 days 00:00:00.000000000
4489,1 days 00:00:00.000000000
4490,1 days 00:00:00.000000000
4491,1 days 00:00:00.000000000
4492,8 days 00:00:00.000000000
4493,1 days 00:00:00.000000000
4494,30 days 00:00:00.000000000
4495,30 days 00:00:00.000000000
4496,7 days 00:00:00.000000000
4497,1 days 00:00:00.000000000
4498,1 days 00:00:00.000000000
4499,1 days 00:00:00.000000000
4500,1 days 00:00:00.000000000
4501,1 days 00:00:00.000000000
4502,1 days 00:00:00.000000000
4503,1 days 00:00:00.000000000
4504,1 days 00:00:00.000000000
4505,1 days 00:00:00.000000000
4506,1 days 00:00:00.000000000
4507,1 days 00:00:00.000000000
4508,1 days 00:00:00.000000000
4509,1 days 00:00:00.000000000
4510,6 days 00:00:00.000000000
4511,1 days 00:00:00.000000000
4512,1 days 00:00:00.000000000
4513,1 days 00:00:00.000000000
4514,1 days 00:00:00.000000000
4515,1 days 00:00:00.000000000
4516,3 days 00:00:00.000000000
4517,3 days 00:00:00.000000000
4518,3 days 00:00:00.000000000
4519,3 days 00:00:00.000000000
4520,3 days 00:00:00.000000000
4521,3 days 00:00:00.000000000
4522,13 days 00:00:00.000000000
4523,6 days 00:00:00.000000000
4524,6 days 00:00:00.000000000
4525,7 days 00:00:00.000000000
4526,1 days 00:00:00.000000000
4527,1 days 00:00:00.000000000
4528,1 days 00:00:00.000000000
4529,35 days 00:00:00.000000000
4530,68 days 00:00:00.000000000
4531,97 days 00:00:00.000000000
4532,1 days 00:00:00.000000000
4533,1 days 00:00:00.000000000
4534,1 days 00:00:00.000000000
4535,1 days 00:00:00.000000000
4536,1 days 00:00:00.000000000
4537,29 days 00:00:00.000000000
4538,7 days 00:00:00.000000000
4539,8 days 00:00:00.000000000
4540,4 days 00:00:00.000000000
4541,9 days 00:00:00.000000000
4542,4 days 00:00:00.000000000
4543,4 days 00:00:00.000000000
4544,27 days 00:00:00.000000000
4545,4 days 00:00:00.000000000
4546,4 days 00:00:00.000000000
4547,4 days 00:00:00.000000000
4548,1 days 00:00:00.000000000
4549,1 days 00:00:00.000000000
4550,7 days 00:00:00.000000000
4551,1 days 00:00:00.000000000
4552,1 days 00:00:00.000000000
4553,1 days 00:00:00.000000000
4554,1 days 00:00:00.000000000
4555,6 days 00:00:00.000000000
4556,13 days 00:00:00.000000000
4557,1 days 00:00:00.000000000
4558,1 days 00:00:00.000000000
4559,1 days 00:00:00.000000000
4560,1 days 00:00:00.000000000
4561,1 days 00:00:00.000000000
4562,1 days 00:00:00.000000000
4563,30 days 00:00:00.000000000
4564,30 days 00:00:00.000000000
4565,7 days 00:00:00.000000000
4566,8 days 00:00:00.000000000
4567,1 days 00:00:00.000000000
4568,1 days 00:00:00.000000000
4569,1 days 00:00:00.000000000
4570,1 days 00:00:00.000000000
4571,3 days 00:00:00.000000000
4572,3 days 00:00:00.000000000
4573,3 days 00:00:00.000000000
4574,3 days 00:00:00.000000000
4575,1 days 00:00:00.000000000
4576,1 days 00:00:00.000000000
4577,1 days 00:00:00.000000000
4578,1 days 00:00:00.000000000
4579,1 days 00:00:00.000000000
4580,7 days 00:00:00.000000000
4581,1 days 00:00:00.000000000
4582,9 days 00:00:00.000000000
4583,1 days 00:00:00.000000000
4584,1 days 00:00:00.000000000
4585,1 days 00:00:00.000000000
4586,6 days 00:00:00.000000000
4587,1 days 00:00:00.000000000
4588,1 days 00:00:00.000000000
4589,1 days 00:00:00.000000000
4590,7 days 00:00:00.000000000
4591,1 days 00:00:00.000000000
4592,1 days 00:00:00.000000000
4593,1 days 00:00:00.000000000
4594,33 days 00:00:00.000000000
4595,1 days 00:00:00.000000000
4596,1 days 00:00:00.000000000
4597,1 days 00:00:00.000000000
4598,1 days 00:00:00.000000000
4599,1 days 00:00:00.000000000
4600,1 days 00:00:00.000000000
4601,1 days 00:00:00.000000000
4602,4 days 00:00:00.000000000
4603,1 days 00:00:00.000000000
4604,1 days 00:00:00.000000000
4605,3 days 00:00:00.000000000
4606,3 days 00:00:00.000000000
4607,3 days 00:00:00.000000000
4608,3 days 00:00:00.000000000
4609,3 days 00:00:00.000000000
4610,3 days 00:00:00.000000000
4611,7 days 00:00:00.000000000
4612,1 days 00:00:00.000000000
4613,1 days 00:00:00.000000000
4614,1 days 00:00:00.000000000
4615,1 days 00:00:00.000000000
4616,1 days 00:00:00.000000000
4617,8 days 00:00:00.000000000
4618,8 days 00:00:00.000000000
4619,8 days 00:00:00.000000000
4620,9 days 00:00:00.000000000
4621,8 days 00:00:00.000000000
4622,1 days 00:00:00.000000000
4623,34 days 00:00:00.000000000
4624,1 days 00:00:00.000000000
4625,1 days 00:00:00.000000000
4626,7 days 00:00:00.000000000
4627,1 days 00:00:00.000000000
4628,7 days 00:00:00.000000000
4629,1 days 00:00:00.000000000
4630,1 days 00:00:00.000000000
4631,1 days 00:00:00.000000000
4632,1 days 00:00:00.000000000
4633,1 days 00:00:00.000000000
4634,1 days 00:00:00.000000000
4635,11 days 00:00:00.000000000
4636,1 days 00:00:00.000000000
4637,11 days 00:00:00.000000000
4638,1 days 00:00:00.000000000
4639,1 days 00:00:00.000000000
4640,1 days 00:00:00.000000000
4641,28 days 00:00:00.000000000
4642,7 days 00:00:00.000000000
4643,1 days 00:00:00.000000000
4644,8 days 00:00:00.000000000
4645,28 days 00:00:00.000000000
4646,1 days 00:00:00.000000000
4647,8 days 00:00:00.000000000
4648,8 days 00:00:00.000000000
4649,9 days 00:00:00.000000000
4650,8 days 00:00:00.000000000
4651,10 days 00:00:00.000000000
4652,11 days 00:00:00.000000000
4653,11 days 00:00:00.000000000
4654,3 days 00:00:00.000000000
4655,3 days 00:00:00.000000000
4656,3 days 00:00:00.000000000
4657,3 days 00:00:00.000000000
4658,3 days 00:00:00.000000000
4659,3 days 00:00:00.000000000
4660,3 days 00:00:00.000000000
4661,8 days 00:00:00.000000000
4662,1 days 00:00:00.000000000
4663,8 days 00:00:00.000000000
4664,13 days 00:00:00.000000000
4665,22 days 00:00:00.000000000
4666,1 days 00:00:00.000000000
4667,1 days 00:00:00.000000000
4668,1 days 00:00:00.000000000
4669,4 days 00:00:00.000000000
4670,4 days 00:00:00.000000000
4671,1 days 00:00:00.000000000
4672,1 days 00:00:00.000000000
4673,1 days 00:00:00.000000000
4674,1 days 00:00:00.000000000
4675,1 days 00:00:00.000000000
4676,1 days 00:00:00.000000000
4677,1 days 00:00:00.000000000
4678,1 days 00:00:00.000000000
4679,1 days 00:00:00.000000000
4680,7 days 00:00:00.000000000
4681,10 days 00:00:00.000000000
4682,32 days 00:00:00.000000000
4683,32 days 00:00:00.000000000
4684,8 days 00:00:00.000000000
4685,11 days 00:00:00.000000000
4686,10 days 00:00:00.000000000
4687,7 days 00:00:00.000000000
4688,1 days 00:00:00.000000000
4689,1 days 00:00:00.000000000
4690,1 days 00:00:00.000000000
4691,1 days 00:00:00.000000000
4692,2 days 00:00:00.000000000
4693,2 days 00:00:00.000000000
4694,2 days 00:00:00.000000000
4695,2 days 00:00:00.000000000
4696,2 days 00:00:00.000000000
4697,2 days 00:00:00.000000000
4698,1 days 00:00:00.000000000
4699,1 days 00:00:00.000000000
4700,3 days 00:00:00.000000000
4701,3 days 00:00:00.000000000
4702,3 days 00:00:00.000000000
4703,3 days 00:00:00.000000000
4704,3 days 00:00:00.000000000
4705,7 days 00:00:00.000000000
4706,7 days 00:00:00.000000000
4707,10 days 00:00:00.000000000
4708,10 days 00:00:00.000000000
4709,32 days 00:00:00.000000000
4710,1 days 00:00:00.000000000
4711,1 days 00:00:00.000000000
4712,1 days 00:00:00.000000000
4713,1 days 00:00:00.000000000
4714,1 days 00:00:00.000000000
4715,1 days 00:00:00.000000000
4716,1 days 00:00:00.000000000
4717,7 days 00:00:00.000000000
4718,84 days 00:00:00.000000000
4719,84 days 00:00:00.000000000
4720,101 days 00:00:00.000000000
4721,7 days 00:00:00.000000000
4722,7 days 00:00:00.000000000
4723,68 days 00:00:00.000000000
4724,8 days 00:00:00.000000000
4725,28 days 00:00:00.000000000
4726,33 days 00:00:00.000000000
4727,30 days 00:00:00.000000000
4728,29 days 00:00:00.000000000
4729,31 days 00:00:00.000000000
4730,7 days 00:00:00.000000000
4731,7 days 00:00:00.000000000
4732,7 days 00:00:00.000000000
4733,35 days 00:00:00.000000000
4734,7 days 00:00:00.000000000
4735,7 days 00:00:00.000000000
4736,7 days 00:00:00.000000000
4737,7 days 00:00:00.000000000
4738,33 days 00:00:00.000000000
4739,33 days 00:00:00.000000000
4740,33 days 00:00:00.000000000
4741,33 days 00:00:00.000000000
4742,34 days 00:00:00.000000000
4743,32 days 00:00:00.000000000
4744,34 days 00:00:00.000000000
4745,30 days 00:00:00.000000000
4746,7 days 00:00:00.000000000
4747,7 days 00:00:00.000000000
4748,28 days 00:00:00.000000000
4749,28 days 00:00:00.000000000
4750,3 days 00:00:00.000000000
4751,91 days 00:00:00.000000000
4752,91 days 00:00:00.000000000
4753,94 days 00:00:00.000000000
4754,89 days 00:00:00.000000000
4755,28 days 00:00:00.000000000
4756,30 days 00:00:00.000000000
4757,30 days 00:00:00.000000000
4758,3 days 00:00:00.000000000
4759,30 days 00:00:00.000000000
4760,28 days 00:00:00.000000000
4761,1 days 00:00:00.000000000
4762,24 days 00:00:00.000000000
4763,7 days 00:00:00.000000000
4764,7 days 00:00:00.000000000
4765,91 days 00:00:00.000000000
4766,7 days 00:00:00.000000000
4767,31 days 00:00:00.000000000
4768,34 days 00:00:00.000000000
4769,1 days 00:00:00.000000000
4770,95 days 00:00:00.000000000
4771,30 days 00:00:00.000000000
4772,30 days 00:00:00.000000000
4773,30 days 00:00:00.000000000
4774,30 days 00:00:00.000000000
4775,92 days 00:00:00.000000000
4776,7 days 00:00:00.000000000
4777,94 days 00:00:00.000000000
4778,36 days 00:00:00.000000000
4779,36 days 00:00:00.000000000
4780,95 days 00:00:00.000000000
4781,7 days 00:00:00.000000000
4782,7 days 00:00:00.000000000
4783,92 days 00:00:00.000000000
4784,33 days 00:00:00.000000000
4785,33 days 00:00:00.000000000
4786,33 days 00:00:00.000000000
4787,7 days 00:00:00.000000000
4788,7 days 00:00:00.000000000
4789,64 days 00:00:00.000000000
4790,64 days 00:00:00.000000000
4791,34 days 00:00:00.000000000
4792,84 days 00:00:00.000000000
4793,7 days 00:00:00.000000000
4794,30 days 00:00:00.000000000
4795,84 days 00:00:00.000000000
4796,30 days 00:00:00.000000000
4797,82 days 00:00:00.000000000
4798,96 days 00:00:00.000000000
4799,10 days 00:00:00.000000000
4800,10 days 00:00:00.000000000
4801,3 days 00:00:00.000000000
4802,3 days 00:00:00.000000000
4803,28 days 00:00:00.000000000
4804,96 days 00:00:00.000000000
4805,11 days 00:00:00.000000000
4806,11 days 00:00:00.000000000
4807,94 days 00:00:00.000000000
4808,94 days 00:00:00.000000000
4809,96 days 00:00:00.000000000
4810,3 days 00:00:00.000000000
4811,7 days 00:00:00.000000000
4812,7 days 00:00:00.000000000
4813,7 days 00:00:00.000000000
4814,7 days 00:00:00.000000000
4815,1 days 00:00:00.000000000
4816,90 days 00:00:00.000000000
4817,3 days 00:00:00.000000000
4818,3 days 00:00:00.000000000
4819,3 days 00:00:00.000000000
4820,90 days 00:00:00.000000000
4821,1 days 00:00:00.000000000
4822,1 days 00:00:00.000000000
4823,1 days 00:00:00.000000000
4824,1 days 00:00:00.000000000
4825,36 days 00:00:00.000000000
4826,36 days 00:00:00.000000000
4827,36 days 00:00:00.000000000
4828,31 days 00:00:00.000000000
4829,91 days 00:00:00.000000000
4830,7 days 00:00:00.000000000
4831,33 days 00:00:00.000000000
4832,20 days 00:00:00.000000000
4833,7 days 00:00:00.000000000
4834,3 days 00:00:00.000000000
4835,7 days 00:00:00.000000000
4836,95 days 00:00:00.000000000
4837,32 days 00:00:00.000000000
4838,32 days 00:00:00.000000000
4839,97 days 00:00:00.000000000
4840,32 days 00:00:00.000000000
4841,7 days 00:00:00.000000000
4842,90 days 00:00:00.000000000
4843,33 days 00:00:00.000000000
4844,7 days 00:00:00.000000000
4845,7 days 00:00:00.000000000
4846,7 days 00:00:00.000000000
4847,32 days 00:00:00.000000000
4848,92 days 00:00:00.000000000
4849,94 days 00:00:00.000000000
4850,30 days 00:00:00.000000000
4851,8 days 00:00:00.000000000
4852,33 days 00:00:00.000000000
4853,32 days 00:00:00.000000000
4854,7 days 00:00:00.000000000
4855,91 days 00:00:00.000000000
4856,7 days 00:00:00.000000000
4857,7 days 00:00:00.000000000
4858,7 days 00:00:00.000000000
4859,7 days 00:00:00.000000000
4860,7 days 00:00:00.000000000
4861,7 days 00:00:00.000000000
4862,35 days 00:00:00.000000000
4863,30 days 00:00:00.000000000
4864,67 days 00:00:00.000000000
4865,34 days 00:00:00.000000000
4866,33 days 00:00:00.000000000
4867,3 days 00:00:00.000000000
4868,10 days 00:00:00.000000000
4869,32 days 00:00:00.000000000
4870,7 days 00:00:00.000000000
4871,7 days 00:00:00.000000000
4872,10 days 00:00:00.000000000
4873,7 days 00:00:00.000000000
4874,7 days 00:00:00.000000000
4875,7 days 00:00:00.000000000
4876,31 days 00:00:00.000000000
4877,9 days 00:00:00.000000000
4878,9 days 00:00:00.000000000
4879,11 days 00:00:00.000000000
4880,11 days 00:00:00.000000000
4881,7 days 00:00:00.000000000
4882,11 days 00:00:00.000000000
4883,91 days 00:00:00.000000000
4884,35 days 00:00:00.000000000
4885,31 days 00:00:00.000000000
4886,31 days 00:00:00.000000000
4887,4 days 00:00:00.000000000
4888,36 days 00:00:00.000000000
4889,7 days 00:00:00.000000000
4890,30 days 00:00:00.000000000
4891,7 days 00:00:00.000000000
4892,7 days 00:00:00.000000000
4893,33 days 00:00:00.000000000
4894,7 days 00:00:00.000000000
4895,7 days 00:00:00.000000000
4896,35 days 00:00:00.000000000
4897,35 days 00:00:00.000000000
4898,91 days 00:00:00.000000000
4899,3 days 00:00:00.000000000
4900,3 days 00:00:00.000000000
4901,91 days 00:00:00.000000000
4902,20 days 00:00:00.000000000
4903,94 days 00:00:00.000000000
4904,36 days 00:00:00.000000000
4905,1 days 00:00:00.000000000
4906,35 days 00:00:00.000000000
4907,4 days 00:00:00.000000000
4908,1 days 00:00:00.000000000
4909,1 days 00:00:00.000000000
4910,31 days 00:00:00.000000000
4911,3 days 00:00:00.000000000
4912,3 days 00:00:00.000000000
4913,3 days 00:00:00.000000000
4914,3 days 00:00:00.000000000
4915,2 days 00:00:00.000000000
4916,2 days 00:00:00.000000000
4917,2 days 00:00:00.000000000
4918,7 days 00:00:00.000000000
4919,7 days 00:00:00.000000000
4920,7 days 00:00:00.000000000
4921,29 days 00:00:00.000000000
4922,1 days 00:00:00.000000000
4923,7 days 00:00:00.000000000
4924,1 days 00:00:00.000000000
4925,11 days 00:00:00.000000000
4926,1 days 00:00:00.000000000
4927,1 days 00:00:00.000000000
4928,7 days 00:00:00.000000000
